Arternes Oprindelse, Darwin, Charles, Hammilton, 1862
Basis Kemi, Buhl, Charlotte, HTX Forlag, 2013
Den Afrikanske Farm, Dinmorsen, Karen, Gyldendal, 1932
Den Kroniske uskyld, Rifbjerg, Klaus, Gyldendal, 1972
Den Kroniske uskyld, Rifbjerg, Hans, Gyldendal, 1972
Den Kroniske uskyld, Rifbjerg, Hans, Gyldendal, 1972
Eventyr for børn, Andersen, Hans Christian, Gyldendal, 1882
Grønspættebogen, And, Rip, Rap og Rup, Andeby Forlag, 1960
Hosekræmmeren, Blicher, Steen Steensen, Herning, 1876
Jellingestenen, den gamle, Gorm, Jelling, 978
AAU afskediger 107 i historisk sparerunde, Baggrsgaarde, Claus, Forskerforum, februar 2019
Vidmøller skal ud på dybt hav, Tækker, Christina, Dynamo, marts 2019
